tipo,material,producto,unidad,largo_cm,ancho_cm,alto_cm,orientacion,fuente_dimension,lineas,cantidad_total,peso_kg_total,volumen_m3_total,palets_total
caja,0LM0796,MACOPAL BANDEJA 24 CANELONES 50U,CAJ,20.0,20.0,20.0,horizontal,ZM040 dimensiones directas,1,1.0,1.56,8e-06,6.666666666666667e-06
caja,0LM0797,MACOPAL TAPA BANDEJA 24 CANELONES 50U,CAJ,20.0,20.0,20.0,horizontal,ZM040 dimensiones directas,1,1.0,1.82,8e-06,6.666666666666667e-06
caja,0LM0830,ENSALADERA KRAFT+TAPA PET 750ML 25U,CAJ,20.0,20.0,20.0,horizontal,ZM040 dimensiones directas,3,8.0,6.72,6.4e-05,5.333333333333333e-05
caja,0LM0831,ENSALADERA KRAFT+TAPA PET 1000ML 25U,CAJ,20.0,20.0,20.0,horizontal,ZM040 dimensiones directas,4,5.0,3.9000000000000004,3.9999999999999996e-05,3.3333333333333335e-05
caja,0LM0833,BARQUETA CONICA FRITOS KRAFT400ML 100U,CAJ,20.0,20.0,20.0,horizontal,ZM040 dimensiones directas,2,8.0,6.56,6.4e-05,5.333333333333333e-05
caja,0LM1029,GC MANTELES NEGRO 1C 30X40 500U,CAJ,20.0,20.0,20.0,horizontal,ZM040 dimensiones directas,20,26.0,0.0,0.000208,0.21666666666666667
caja,0LM1505,"NEUTREX LEJIA 1,9L 8U",CAJ,39.0,27.0,33.0,horizontal,ZM040 dimensiones directas,2,2.0,30.4,0.069498,0.044444444444444446
caja,0LM1716,"CUCHILLO STEAK PIZZA 21,2CM 12U",CAJ,20.0,20.0,20.0,horizontal,ZM040 dimensiones directas,2,2.0,0.0,0.00128,0.0010666666666666667
caja,0LM1718,GC MINI SERVICIOS 1C 17X17 400U 10PQ,CAJ,20.0,10.0,3.0,horizontal,ZM040 dimensiones directas,48,51.0,13.26,0.000306,0.7083333333333333
caja,0LM1760,LUMINARC JARRA DE AGUA 1L 6U,CAJ,20.0,20.0,20.0,horizontal,ZM040 dimensiones directas,1,1.0,0.0,8e-06,6.666666666666667e-06
caja,0LM1778,HAVANE TENEDOR MESA 12U,CAJ,20.0,20.0,20.0,horizontal,ZM040 dimensiones directas,1,1.0,0.0,8e-06,6.666666666666667e-06
caja,0LM1785,HAVANE TENEDOR POSTRE 12U,CAJ,20.0,20.0,20.0,horizontal,ZM040 dimensiones directas,1,1.0,0.0,8e-06,6.666666666666667e-06
caja,0LM2327,GC MANTELES BUEN PROVECHO VERDE 30X40 50,CAJ,20.0,20.0,20.0,horizontal,ZM040 dimensiones directas,3,3.0,0.0,2.4e-05,1.9999999999999998e-05
caja,0LM2399,ARCOROC COPA HELADO 4CL 6U,CAJ,20.0,20.0,20.0,horizontal,ZM040 dimensiones directas,2,2.0,0.0,1.6e-05,1.3333333333333333e-05
caja,0LM2419,MIKRAL ENVAS RECT.BISAGRA 1000-PP-50U,CAJ,20.0,20.0,20.0,horizontal,ZM040 dimensiones directas,10,15.0,0.0,0.00011999999999999999,0.0001
caja,0LM2421,MIKRAL ENVAS RECT.BISAGRA 375-PP-50U,CAJ,20.0,20.0,20.0,horizontal,ZM040 dimensiones directas,3,6.0,0.0,4.8e-05,3.9999999999999996e-05
caja,0LM2423,MIKRAL ENVAS RECT.BISAGRA 750-PP-50U,CAJ,20.0,20.0,20.0,horizontal,ZM040 dimensiones directas,18,20.0,0.0,0.00015999999999999999,0.00013333333333333334
caja,0LM2431,BOLSA IND. DE BASURA G120 85x104CM 10U,CAJ,20.0,20.0,20.0,horizontal,ZM040 dimensiones directas,56,381.0,1905.0,0.003048,0.00254
caja,0LM2432,MIKRAL ENVAS RECT.BISAGRA 500-PP-50U,CAJ,20.0,20.0,20.0,horizontal,ZM040 dimensiones directas,8,8.0,0.0,6.4e-05,5.333333333333333e-05
caja,0LM2434,MIKRAL ENVAS RECT.BISAGRA 250-PP-50U,CAJ,20.0,20.0,20.0,horizontal,ZM040 dimensiones directas,1,4.0,0.0,3.2e-05,2.6666666666666667e-05
caja,0LM2435,BOLSAS DE BASURA NEGRA G50 52x58CM  25U,CAJ,20.0,20.0,20.0,horizontal,ZM040 dimensiones directas,10,65.0,0.0,0.00052,0.00043333333333333337
caja,0LM2535,BARQUETA RECTANGULAR FRITOS KRAFT 100U,CAJ,20.0,20.0,20.0,horizontal,ZM040 dimensiones directas,1,4.0,3.28,3.2e-05,2.6666666666666667e-05
caja,0LT0009,LETONA GRAN CREME 1L VR 12U,CAJ,42.0,33.0,33.0,horizontal,ZM040 dimensiones directas,780,1847.0,42019.25,22.164,57.71875
caja,0LT0013,ATO NATURA ENTERA BRIK 1L.6U,CAJ,20.0,20.0,20.0,horizontal,ZM040 dimensiones directas,8,13.0,65.0,0.078,0.1015625
caja,0LT0014,ATO NATURA SEMI BRIK 1L.6U,CAJ,20.0,20.0,20.0,horizontal,ZM040 dimensiones directas,3,3.0,15.0,0.018000000000000002,0.0234375
caja,0LT0015,ATO NATURA DESNATADA 1L.BRIK 6U,CAJ,20.0,20.0,20.0,horizontal,ZM040 dimensiones directas,7,8.0,40.0,0.048,0.064
caja,0LT0020,CACAOLAT ORIGINAL 1L PET 6U,CAJ,36.0,26.0,26.0,horizontal,ZM040 dimensiones directas,21,23.0,309.58000000000004,0.138,0.21904761904761907
